id,screen_name,friends_count,followers_count,self_description
990243671390867456,prrnnnnnnn,5,0,へんじんまじめ。みぽたぽた。💓。
975353656118661126,_prinri76,46,18,もうすぐにねん。くらすはでーぐみ。たのしみ。
792650241371549696,nago_0421,729,849,看護学生 ３
762940315636334592,yxax_,250,178,
980666446823882752,mochimochiwwwww,60,16,"中3
男子でーすよろしくっ！"
990225380714803200,meimei71213987,8,0,
942352220040839169,ru_m0518,121,38,多中/2年/女子バレー部/#3／アタッカー🏐BTS🇰🇷DANCE🌱
940212186965671936,______krg,815,418,ウォルピスさんとSouくん最推しです  めいちゃんと小豆裁判くん推してます  DDです…！   https://t.co/ztNicNhGhJ
1662447450,haichan0814,90,116,ﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺﾈｺ🐱😸😹😿😻😼💕
871003469087358977,kappakappak1,332,178,"きいちゃんの袖にもいるよ。。。
#翔くん　#うせつ厨　 #みつ族　バクスラ　 ウオタミ　スカイピース　　ソナポケ
 @テオファミ @幸せ者 
フォロバ率高いです！"
4848675805,ichika__123,648,668,受験生・陸上部
990124450916925440,nMW53gArgUKbFU8,87,7,"高校2年生です！
ふたば家に、入ってます！
あまり、ツイートは、しないけど、たまーに、ツイートします！
彼氏持ちです！"
988021926474870785,Kawatakinuuuuu,22,1,はじめたばかり / MJC 💄 / ピクト民 / 吹奏楽 ( horn ) /   Mel 愛してます 💘   /
896677735694712833,yuumakun0803,143,9,
990200351541284864,akki2106nyanyan,49,2,じゅけんせー！ぎんしゃむを愛しぎんしゃむに愛された！い！おとこおお！無言フォロー失礼します_(._.)_仲良くしてくれると嬉しいです！
989826406753304577,Me98092645,10,0,
822095807469887492,konnahazzudewa,141,13,がんばれよ
819492263478734848,mofu_1007,750,916,#ウオタミ #もきゅたみ #きぬたみ #マサイノヒト #オン民 #はじメーノ #ワタナベマホト #すしらー #じんクラ #テオファミ #共犯者 #よきき #つぇるっ子 #351 #ほりえったー #ふるちゃんず #YP #B専 #ぽんふぁみ #ヘンジンマジメ #イセクラ #桑田佳祐 #NONSTYLE
758618942428491776,mofu10072841,357,440,岩沼 14
3224399318,n1207_nu,184,218,〜愛されたがり〜【@tkw2bv】 ダンスサークル出演依頼はDMまでお願いします。 定期的にツイート消します
990195657670471680,Gomtk__,38,4,モトキ可愛いbot🐟【@Fs_hasninelives】
934846313446776832,Happy886661,73,4,
987269186115190785,XuH4rVRKJ0lQKVv,120,97,バンドリ/東京喰種/能力アニメ/バンタン/ 浦島坂田船/うらたぬきが大好きな梨ちゃんです！フォローされたらフォローし返します( _ _)
939117908738719744,hYpUg3wmbxv68Eg,67,6,
990179493401645056,nana_yuri523717,418,17,❀なな❀      JK⑅ *✲ﾟ     TWICE大好き💓
902364143184863232,2jeohy,50,7,
990178871218651136,be_sunny03,60,29,Ryosuke Yamada and @nutsnuts__04）❤︎
